ID,Statement,Question_phi,Question_mistral,Label
3350.json,Says Michelle Obama has 43 people on her staff; Nancy Reagan had just 3., What is the accurate number of staff members for Michelle Obama's administration compared to Nancy Reagan's administration?,"1. ""How many people were on Michelle Obama's staff compared to Nancy Reagan's?""",pants-fire
4445.json,Says Rick Perry doubled spending in a decade., What evidence exists that Rick Perry's spending doubled over a decade in his position?,"1. ""Did Texas Governor Rick Perry indeed double the state spending between 2001 and 2011?""",barely-true
11084.json,"Texas still owns all of its public lands. If the federal govt wants to create a park, they must ask permission!"," Does Texas retain full ownership and control over its public lands, requiring federal government permission to establish new parks?","1. ""Has Texas retained ownership of all its public lands, requiring federal approval for park creation?""",half-true
9527.json,The 9-0 decision last week was the 13th time the Supreme Court voted 9-0 that the president had exceeded his constitutional authority., What is the record of the Supreme Court voting unanimously 9-0 in cases where it ruled that the president had exceeded his constitutional authority?,"1. ""Did the Supreme Court rule 9-0 that the president exceeded constitutional authority thirteen times?""",false
6872.json,"Says Tammy Baldwin supports a law in which government will take over your decisions on medicine, on doctors and on hospitals."," ""Does Tammy Baldwin officially support legislation granting the government authority to make decisions on medicine, doctors, and hospitals?""",">""Has Tammy Baldwin publicly advocated for a law that would grant the government control over personal medical decisions, doctors, and hospitals?""",false
10116.json,The projected $1.8 billion state budget shortfall for 2015-17 actually comes from an assumption based on zero growth. That just doesnt happen., What is the assumption behind the projected $1.8 billion state budget shortfall for 2015-17 related to growth?,"1. ""What is the source of the claimed $1.8 billion state budget shortfall assumption for the 2015-17 period based on zero growth?""",barely-true
6733.json,"Says if we do nothing and continue to let Obamacare siphon off that $700 billion dollars off the top of it, Medicare goes away in less than 10 years -- certain accounts of it -- and it just falls apart at the seams.", What is the verdict on Obamacare's projected impact on Medicare funding over the next decade according to reliable sources?,"1. ""Does the withdrawal of $700 billion from Obamacare funding lead to Medicare's collapse within 10 years?""",false
12679.json,"Says Sen. John McCain spent the July 4 weekend in Islamabad, Pakistan, selling F-16s and advanced weapons to the folks who harbored Osama bin Laden."," What evidence is there to support the claim that Senator John McCain spent the July 4 weekend in Islamabad, Pakistan, selling F-16s and advanced weapons to those who harbored Osama bin Laden?","1. ""Did Sen. John McCain visit Islamabad, Pakistan, over July 4 weekend 2009 to sell F-16s and advanced weapons?""",false
12830.json,Says Donald Trump doesnt make a thing in America., What evidence supports the claim that Donald Trump does not produce anything in America?," ""What country does Donald Trump primarily manufacture his business products from?""",false
7703.json,Why is President Obama unnecessarily delaying your flight? FAA could cut other spending., What is the actual reason behind President Obama allegedly delaying a flight and the FAA's potential cut in spending?,"1. ""Did President Obama issue an order that is causing unnecessary delays for flights, and could the FAA alleviate these delays by cutting spending in other areas?""",barely-true
8653.json,"John Cornyn has voted to increase the debt, raise taxes, bail out Wall Street banks and fund Obamacare."," What specific actions did John Cornyn vote for that led to an increase in debt, tax raises, bailing out Wall Street banks, and funding Obamacare?","1. ""Has John Cornyn voted for legislation that includes debt increase, tax raises, Wall Street bank bailouts, and Obamacare funding?""",half-true
